"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","urban_area","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"430","Winter Haven, FL Urbanized Area (2010)",225577,84265,2259,7352,10094,15786,12210,4429,10928,3220,2446,9727,3257,2557,"96697",42133,"20_to_24_min",8,7,3
"26","Atlantic City, NJ Urbanized Area (2010)",249860,107594,2922,12099,18767,20402,17231,8997,10875,2137,2258,4650,4443,2813,"03898",53798,"15_to_19_min",7,7,3
"130","Florence, AL Urbanized Area (2010)",78660,32777,813,4608,7384,6552,4724,707,3291,217,463,1764,1278,976,"29953",16389,"15_to_19_min",7,7,3
"154","Guayama, PR Urbanized Area (2010)",70736,18042,788,1663,3248,3853,4058,930,950,236,186,929,761,440,"35866",9022,"15_to_19_min",7,7,2
"164","Hattiesburg, MS Urbanized Area (2010)",79310,36758,1184,4802,8469,8992,4743,1825,2476,458,273,946,829,1761,"37594",18380,"15_to_19_min",7,7,5
"184","Janesville, WI Urbanized Area (2010)",69575,33962,484,6471,6727,6465,3672,1436,1972,628,1544,2204,1491,868,"42562",16982,"15_to_19_min",7,7,3
"241","Manchester, NH Urbanized Area (2010)",163735,83167,2469,9074,14690,15625,11166,6719,8353,1459,2946,5002,3012,2652,"53740",41584,"15_to_19_min",7,7,3
"273","Newark, OH Urbanized Area (2010)",75217,34157,1754,5191,7836,4120,4250,793,1981,982,2017,2695,1740,798,"61705",17079,"15_to_19_min",7,7,2
"280","Norwich--New London, CT--RI Urbanized Area (2010)",204430,98307,3925,12531,16448,16822,17225,7426,10163,1084,2690,3002,4423,2568,"64135",49154,"15_to_19_min",7,7,3
"303","Port Arthur, TX Urbanized Area (2010)",156342,60570,2769,9264,10692,10527,10306,2886,7327,518,695,1434,3267,885,"70993",30286,"15_to_19_min",7,7,1
